epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,917.327,0.99823,0.65361,1.05338,0.94157,0.96429,0.97455,0.63134,1.28035,0.66971,1.14853,0.0012862,0.0012862,0.0012862
43,933.596,0.92414,0.56377,0.97361,0.97737,0.91071,0.95425,0.66216,1.14967,0.76224,1.05721,0.0012562,0.0012562,0.0012562
44,949.665,0.99377,0.62062,1.04254,0.97997,0.87385,0.93602,0.67383,1.12936,0.7249,1.07544,0.00122596,0.00122596,0.00122596
45,965.52,0.99762,0.57264,1.01131,0.95808,0.91071,0.95159,0.69943,1.01008,0.67105,1.01447,0.00119551,0.00119551,0.00119551
46,980.914,0.97181,0.56399,0.97849,0.93951,0.89286,0.95613,0.69255,1.00063,0.67817,1.00152,0.00116487,0.00116487,0.00116487
47,997.489,1.01373,0.56329,1.01316,0.94478,0.94643,0.97375,0.70719,1.03188,0.67898,1.00817,0.00113408,0.00113408,0.00113408
48,1015.45,0.92655,0.57094,0.99906,0.97185,0.89286,0.95253,0.69216,1.05708,0.69897,1.05092,0.00110317,0.00110317,0.00110317
49,1032.16,0.97017,0.5758,1.00779,0.96104,0.88094,0.94921,0.66934,1.14625,0.71322,1.09186,0.00107216,0.00107216,0.00107216
50,1047.77,0.95193,0.59459,0.99706,0.94493,0.94643,0.95126,0.67302,1.10969,0.70064,1.05087,0.0010411,0.0010411,0.0010411
51,1065.06,0.89693,0.54753,0.97834,0.92978,0.94585,0.95218,0.69794,1.02263,0.67993,1.01501,0.00101,0.00101,0.00101
52,1083.03,0.89988,0.53641,0.97383,0.9131,0.93828,0.96338,0.6563,1.15808,0.71965,1.09887,0.000978903,0.000978903,0.000978903
53,1096.95,0.90428,0.53977,0.97025,0.96224,0.91002,0.95937,0.69486,1.01476,0.65932,1.01276,0.000947837,0.000947837,0.000947837
54,1116.28,0.87407,0.50505,0.98278,0.95439,0.92857,0.96448,0.68068,1.14972,0.6874,1.0874,0.000916833,0.000916833,0.000916833
55,1132.53,0.86751,0.51045,0.94479,0.95869,0.92857,0.95697,0.68543,1.12234,0.6518,1.09016,0.00088592,0.00088592,0.00088592
56,1152.27,0.88379,0.53723,0.97679,0.9298,0.94612,0.95728,0.63905,1.2478,0.68644,1.13051,0.00085513,0.00085513,0.00085513
