epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1505.77,0.99572,0.58225,0.97255,0.96489,0.93636,0.98562,0.60878,1.39004,0.65949,1.07889,0.0012862,0.0012862,0.0012862
43,1536.14,1.02539,0.57414,0.96128,0.99027,0.92544,0.97286,0.66564,1.18398,0.65465,1.02654,0.0012562,0.0012562,0.0012562
44,1564.5,0.93731,0.56809,0.95753,0.97134,0.92426,0.98488,0.67655,1.16351,0.64887,1.01846,0.00122596,0.00122596,0.00122596
45,1593.1,0.96444,0.552,0.9732,0.94783,0.9909,0.98515,0.73538,0.98668,0.60875,0.98966,0.00119551,0.00119551,0.00119551
46,1622.42,0.96079,0.57318,0.9589,0.99845,0.93636,0.98343,0.63688,1.23554,0.6915,1.03122,0.00116487,0.00116487,0.00116487
47,1653.5,0.95454,0.57139,0.98192,0.97203,0.94781,0.98047,0.73823,0.99078,0.63387,0.98005,0.00113408,0.00113408,0.00113408
48,1680.55,0.99675,0.58017,0.97074,0.98774,0.91818,0.95921,0.70684,1.04655,0.6769,1.00509,0.00110317,0.00110317,0.00110317
49,1707.48,0.91493,0.53256,0.93736,0.98898,0.94545,0.97474,0.74155,0.99993,0.58099,1.00085,0.00107216,0.00107216,0.00107216
50,1734.02,0.93757,0.52018,0.94281,0.99026,0.92467,0.97141,0.71438,1.02758,0.60588,0.96993,0.0010411,0.0010411,0.0010411
51,1757.98,0.95322,0.53147,0.94877,0.95433,0.94974,0.9741,0.68182,1.03063,0.60622,0.97337,0.00101,0.00101,0.00101
52,1784.58,0.92496,0.52659,0.93695,0.98113,0.9453,0.97208,0.73445,1.01878,0.58353,1.00167,0.000978903,0.000978903,0.000978903
53,1812.14,0.88482,0.51152,0.9539,0.98003,0.93636,0.95936,0.71989,0.93757,0.59253,0.97227,0.000947837,0.000947837,0.000947837
54,1838.82,0.88338,0.50906,0.93093,0.98834,0.92727,0.95872,0.74107,0.98783,0.61349,1.00235,0.000916833,0.000916833,0.000916833
55,1867.34,0.9143,0.50383,0.93751,0.97993,0.95455,0.98313,0.69224,1.11896,0.62287,1.0343,0.00088592,0.00088592,0.00088592
56,1893.77,0.89917,0.49503,0.9469,0.98992,0.93636,0.98339,0.68519,1.07831,0.58198,0.98062,0.00085513,0.00085513,0.00085513
57,1919.29,0.87334,0.48151,0.93469,0.97121,0.97273,0.98275,0.74946,0.92439,0.51867,0.9626,0.000824492,0.000824492,0.000824492
58,1946.97,0.90233,0.48486,0.93826,1,0.95208,0.9865,0.7557,0.92775,0.51436,0.95894,0.000794038,0.000794038,0.000794038
59,1972.71,0.87579,0.49972,0.93118,0.95301,0.96364,0.98688,0.7544,0.93943,0.51954,0.98263,0.000763797,0.000763797,0.000763797
60,1998.35,0.86465,0.48116,0.92571,0.9891,0.92727,0.98069,0.70235,1.04349,0.58425,0.99271,0.000733799,0.000733799,0.000733799
61,2025.21,0.90363,0.50007,0.93614,0.97982,0.96364,0.98918,0.75384,0.98152,0.53045,0.97769,0.000704073,0.000704073,0.000704073
62,2050.63,0.89151,0.48804,0.93548,0.98864,0.96364,0.98717,0.75459,0.96626,0.52933,0.977,0.000674649,0.000674649,0.000674649
63,2076.21,0.85345,0.47214,0.91451,0.97894,0.95455,0.98864,0.75759,0.97433,0.53195,0.98103,0.000645557,0.000645557,0.000645557
64,2101.69,0.82669,0.46777,0.92045,0.97262,0.96878,0.99113,0.72536,1.05742,0.54071,0.99076,0.000616824,0.000616824,0.000616824
65,2130.04,0.83013,0.46142,0.911,0.97256,0.96651,0.98438,0.71451,1.06064,0.53007,0.98823,0.000588479,0.000588479,0.000588479
66,2156.44,0.81682,0.46113,0.90854,0.98916,0.96364,0.98599,0.72277,1.00084,0.50166,0.96806,0.000560549,0.000560549,0.000560549
67,2184.08,0.82678,0.46836,0.92223,0.97747,0.96364,0.98674,0.72913,0.99355,0.52865,0.97055,0.000533064,0.000533064,0.000533064
68,2211.75,0.81223,0.44588,0.89937,0.98823,0.95455,0.98854,0.74168,0.96182,0.49971,0.96501,0.000506049,0.000506049,0.000506049
69,2236.63,0.84038,0.46228,0.91153,0.9874,0.95455,0.98934,0.76909,0.9002,0.47391,0.96359,0.000479531,0.000479531,0.000479531
70,2266.33,0.81121,0.44865,0.90692,0.96313,0.94988,0.98888,0.75387,0.933,0.49018,0.96437,0.000453537,0.000453537,0.000453537
71,2293.13,0.82926,0.44308,0.92278,0.99073,0.97146,0.99103,0.75633,0.9527,0.47829,0.96032,0.000428093,0.000428093,0.000428093
72,2319.43,0.82683,0.45794,0.92551,0.98162,0.97125,0.99318,0.77011,0.90284,0.46787,0.95639,0.000403222,0.000403222,0.000403222
73,2344.98,0.79695,0.4574,0.90696,0.98149,0.96414,0.99313,0.74807,0.94431,0.49679,0.95973,0.00037895,0.00037895,0.00037895
74,2372.7,0.80388,0.43959,0.89871,0.98162,0.97121,0.99229,0.76998,0.9048,0.47887,0.95606,0.000355301,0.000355301,0.000355301
75,2402.2,0.78583,0.42845,0.89836,0.9817,0.97526,0.99185,0.76614,0.93359,0.47132,0.9548,0.000332298,0.000332298,0.000332298
76,2430.94,0.75459,0.41113,0.89266,0.99071,0.9696,0.9906,0.76864,0.89533,0.48443,0.93497,0.000309964,0.000309964,0.000309964
77,2458.73,0.77637,0.42232,0.90649,0.98833,0.97273,0.99325,0.78204,0.87581,0.44734,0.93851,0.000288321,0.000288321,0.000288321
78,2483.51,0.76365,0.41441,0.8918,0.99064,0.96228,0.99251,0.7472,0.93532,0.47025,0.93308,0.00026739,0.00026739,0.00026739
79,2507.47,0.75089,0.42708,0.89565,0.98991,0.94545,0.99019,0.77205,0.89582,0.49896,0.9387,0.000247192,0.000247192,0.000247192
80,2533.74,0.73234,0.41614,0.88119,0.99055,0.95263,0.99146,0.74784,0.95864,0.50359,0.95408,0.000227747,0.000227747,0.000227747
81,2559.46,0.73317,0.40759,0.88958,0.9724,0.96098,0.99222,0.79421,0.85795,0.45868,0.93887,0.000209073,0.000209073,0.000209073
82,2585.74,0.74667,0.41977,0.87113,0.96422,0.97996,0.99338,0.77038,0.9001,0.45608,0.94023,0.00019119,0.00019119,0.00019119
83,2611.12,0.74765,0.4097,0.89915,0.98915,0.94545,0.99214,0.78597,0.849,0.44378,0.93357,0.000174115,0.000174115,0.000174115
84,2638.13,0.7343,0.40617,0.89299,0.99055,0.95303,0.99137,0.76352,0.89811,0.46517,0.94455,0.000157865,0.000157865,0.000157865
85,2663.24,0.74238,0.41393,0.89843,0.99056,0.95346,0.99174,0.78404,0.88617,0.45591,0.95001,0.000142456,0.000142456,0.000142456
